run,std_all,std_in,keep_ratio,tol_ms
1,103.65921039855789,98.11286503672332,0.9615384615384616,193.4793
2,118.67906073530231,105.51110622780412,0.9423076923076923,249.0768
3,104.16250255622467,100.84931002903953,0.98,202.3749
4,108.52484903073055,105.45145093075467,0.98,204.5988
5,105.11552899591109,102.40481009147045,0.9824561403508771,209.0466
6,109.55110819212396,106.1571923601784,0.98,215.7183
7,106.61365877999424,98.34005241553875,0.9491525423728814,186.8076
8,115.95953023818795,112.84337619470807,0.98,224.6139
9,84.31502800657996,48.47323862276257,0.8301886792452831,108.97109999999998
10,101.38328361262734,101.38328361262734,1.0,222.39
